"title","number"
"关于对2020年“市级中小企业公共服务示范平台”拟奖励服务机构的公示","84"
"关于对2020年北京大学山西省中小企业、民营企业总经理研修班拟定学员名单公示的通知 ","85"
"关于转发《太原市商务局关于征集现代服务业发展有关项目的通知》的通知","86"
"关于做好我省排水设施建设2020年第三批中央预算内投资计划申报工作的通知","87"
"《阳泉市创新生态图谱构建》编制遴选公告","88"
"阳泉市中试基地管理办法（试行）","89"
"阳泉市城区煤炭洗选行业升级规范发展保留企业名单公示","90"
"科技部财政部教育部中科院关于持续开展减轻科研人员负担激发创新活力专项行动的通知","91"
"工业和信息化部科技司关于组织申报国家重点研发计划“数字诊疗装备研发”重点专项2020年度定向项目的通知","92"
"关于申报2021年度群众文化项目的紧急通知","93"
"2020年太原市晋源区小微企业吸纳劳动者就业一次性就业补助名单公示","94"
"关于开展2020年度农业系列中、初级专业技术职务任职资格评审工作的通知","95"
"工业和信息化部办公厅关于公布第五批绿色制造名单的通知","96"
"第二十七批提前批物流企业信用评价A级信用企业名单公示","97"
"第二届全省职业技能大赛长治赛区开赛","98"
"晋中市首批名师名医名家工作室名单公示","99"
"关于开展哲学社会科学普及征文活动的通知","100"
"2020年中国优秀工业设计奖进入复评产品（作品）名单公示","101"
"山西省2020年第十一批拟入库科技型中小企业名单公示","102"
"2020年太原市晋源区青年就业见习补贴名单的公示","103"
"关于印发太原市加快现代服务业发展政策意见实施细则的通知","104"
"文化和旅游部国家发展改革委财政部关于开展文化和旅游消费试点示范工作的通知 ","105"
"2020年度太原市工程系列初、中级职称评审工作安排意见","106"
"山西省农业农村厅办公室关于举办2020年度全省绿色食品检查员培训班的通知","107"
"2020年符合环保装备制造业规范条件企业名单","108"
"关于申报市级农业产业化龙头企业的通知","109"
"关于批转长治市中小企业局《2020年度长治市民营企业中、初级专业技术职务评审工作安排意见》的通知","110"
"平定县扶贫龙头企业增报名单的通知 ","111"
"忻州市人民政府办公室关于印发忻州市农民合作社规范提升工作实施方案的通知","112"
"忻州市市场监督管理局关于组织推荐山西省专利奖补资助项目审查结果的公示","113"
"关于转发省科技厅《关于组织开展2020年度国家级科技企业孵化器认定工作的通知》的通知","114"
"关于2020年全市工程系列中、初级专业技术职务任职资格评审材料报送的通知","115"
"国家科学技术奖励条例","116"
"关于《太原市首批参与战略性新兴产业电力专场交易用电企业名单（规下）》审核结果公示","117"
"关于山西天地煤机装备有限公司“EJM340/4-2掘锚一体机成果转化”项目拟立项的公示","118"
"关于转发《关于加快推进以工代训有关工作的通知》的通知","119"
"2020年国家技术创新示范企业拟认定名单公示","120"
"关于山西省民歌广场舞大赛、山西鼓乐大赛等四项群众文化活动获奖名单的公示","121"
"关于组织开展2020年度国家级科技企业孵化器认定工作的通知","122"
"忻州市关于对2020年度全市失业保险应急稳岗返还和缴费稳岗返还（第六批）企业名单的公示","123"
"第三届山西省质量奖提名推荐名单公示","124"
"吕梁市关于进一步做好城市信用监测指标数据报送工作的通知","125"
"国家发展改革委关于支持民营企业加快改革发展与转型升级的实施意见","126"
"关于举办“2020山西太原人才智力交流大会”的通知","127"
"山西省农业农村厅办公室关于印发《第十八届中国国际农产品交易会山西省参展工作方案》的通知","128"
"山西省农业农村厅办公室关于做好2020-2021年度神农中华农业科技奖申报工作的通知","129"
"企策通参加全省中小企业“送政策、送专家、送服务”活动（朔州站）","130"
"企策通参加全省中小企业“送政策、送专家、送服务”活动（大同站）","131"
"关于组织开展市级中小企业公共服务示范平台奖励资金申报工作的通知","132"
"文化和旅游部产业发展司关于公示2020年“一带一路”文化产业和旅游产业国际合作重点项目的公告","133"
"关于开展2020年度全省出版系列高级职称评审工作的通知","134"
"关于开展2020年度山西省新闻系列高级职称评审工作的通知","135"
"关于进一步加强对商标恶意注册和非正常专利申请行为监管的通知","136"
"关于支持民营企业加快改革发展与转型升级的实施意见","137"
"工业和信息化部办公厅关于做好2020世界计算机大会参会工作的通知","138"
" 长治市农业农村局关于2020年第三批拟建高标准农田项目公示","139"
"阳泉市本级小微企业一次性吸纳就业补贴审核结果公示","140"
"2020年示范区晋中开发区科技计划项目申报指南","141"
"晋中市第39-54期创新类创业培训补贴公示","142"
"拟推荐申报山西省家庭农场省级示范农场名单公示","143"
"拟申报晋中市市级示范农场名单公示","144"
"晋中市第-批绿色制造名单公示","145"
"晋中市关于开展2020年全市工程系列中、初级专业技术职务任职资格评审工作的通知","146"
"山西转型综改示范区政策兑现事项(2020年第十八批)审核结果公示","147"
"阳泉市科学技术局关于对在我市实际开展科技活动的科技人才情况调查摸底的通知","148"
"山西省人民政府办公厅关于进一步规范行业协会商会收费的通知","149"
"山西省人民政府办公厅关于开展中小企业高质量发展示范县（开发区）创建工作的通知","150"
"山西省小企业发展促进局关于公布2020年“专精特新”中小企业名单的通知   ","151"
"山西省商务厅关于公开征集第22届中国国际高新技术成果交易会山西展区搭建服务机构的通知","152"
"关于政府采购支持绿色建材促进建筑品质提升试点工作的通知","153"
"2020年全国文化和旅游志愿服务项目线上大赛获奖名单公示","154"
"关于转发《关于组织申报2020年太原市科技成果中试熟化项目的通知》的通知","155"
"关于转发《山西省商务厅关于转发商务部开展电子商务公共服务惠民惠企行动的通知》的通知","156"
"86项行业标准报批公示","157"
"晋城市关于组织申报2021年省级小微企业创业创新基地及省级小微企业创业创新示范基地的通知","158"
"2020中国（太原）国际能源产业博览会开幕","159"
"关于促进品牌连锁便利店发展的实施意见","160"
"山西省商务厅关于公布2020年度第一批会展目录的通知","161"
"国家知识产权局教育部关于确定2020年度国家知识产权试点示范高校的通知","162"
"科技部关于批准建设疑难重症及罕见病国家重点实验室的通知","163"
"关于组织参加农业农村部农机试验鉴定推广总站设施栽培和畜牧养殖机械化专题培训班的通知","164"
"山西省农业农村厅关于农业农村系统抗击新冠肺炎疫情先进集体、先进个人和抗击新冠肺炎疫情突出贡献农民初审推荐对象的公示","165"
"关于山西省就业创业专家库拟入库专家名单的公示","166"
"工业和信息化部关于加强外商投资电信企业事中事后监管的通知","167"
"工业和信息化部办公厅关于组织申报2020年消费品工业“三品”战略示范城市的通知","168"
"关于组织申报2020年太原市科技成果中试熟化项目的通知","169"
"关于运城市市级扶贫龙头企业和扶贫农民专业合作社名单的公示","170"
"运城市人民政府办公室关于运城市对旅行社组团来运奖励办法的补充通知","171"
"关于举办2020年山西药茶机械化生产培训班的通知","172"
"【运城市】2020年企业职工技能培训补贴","173"
"运城市关于申报2020年企业职工技能培训补贴的通知","174"
"大同市科技创新券兑付名单公示","175"
"关于转发《山西省发展和改革委员会 中国银保监会山西监管局关于深入开展“信易贷”支持中小微企业融资的通知》的通知》","176"
"关于对2019年度山西省中小微企业规范化股改企业审核结果公示的通知","177"
"山西省小企业发展促进局关于支持打造第二批省级大中小企业融通型创新创业特色载体的通知","178"
"山西省文化和旅游厅重大行政决策事项目录","179"
"山西省小企业发展促进局关于组织申报2021年省级小微企业创业创新基地及省级小微企业创业创新示范基地的通知","180"
"山西省小企业发展促进局关于组织举办2020年北京大学山西省中小企业、民营企业总经理研修班的通知","181"
"国家自然科学基金委员会工程与材料科学部关于2020年度第2期专项项目（科技活动项目）申请的通知","182"
"关于做好2020年入库科技型中小企业评价信息抽查和工作总结的通知","183"
"关于举办2020年国家高新区局长培训班的通知","184"
"文化和旅游部人事司关于公示2020年度乡村文化和旅游能人支持项目拟入选人员名单的通知","185"
"关于举办2020年创新型产业集群高质量发展培训班的通知","186"
"关于对2020年大同市科技计划拟立项项目名单的公示","187"
"大同市关于优选2020-2021年市级冬春蔬菜储备承储企业的公告","188"
"关于征集“后摩尔时代新器件基础研究”重大研究计划2021年度项目指南建议的通知","189"
"关于推荐绿色建材产品认证机构的通知","190"
"关于组织申报2020年（第十八批）太原市市级企业技术中心的通知","191"
"关于转发《山西省商务厅关于征集促进商贸流通业恢复增长项目的通知》的通知","192"
"关于转发《关于对太原市商贸流通达限入统企业予以奖励的通知》的通知","193"
"关于太原恒研科技有限公司申请小微企业吸纳一次性就业补助的人员名单公示","194"
"工业和信息化部办公厅关于组织开展2020年制造业与互联网融合发展试点示范项目申报工作的通知","195"
"三部委关于公布《智慧健康养老产品及服务推广目录（2020年版）》的通告","196"
"工业和信息化部办公厅关于召开两化融合暨工业互联网平台大会的通知","197"
"2020年“创客中国”中小企业创新创业大赛全国总决赛成功举办","198"
"山西综改示范区装配式建筑专项扶持暂行办法","199"
"山西转型综合改革示范区市场监督管理局关于开展第二十二届中国专利奖项目申报推荐工作的通知","200"
"关于开展2020年（第十八批）太原市市级企业技术中心申报工作的通知","201"
"山西省商务厅等10部门关于印发《支持出口产品转内销若干措施》的通知","202"
"山西省中小企业发展促进会关于开展中小企业诚信等级评价活动的通知","203"
"科技部火炬中心关于开展2020年度国家级科技企业孵化器认定工作的通知","204"
"关于组织参加第十届山西省节能环保、低碳发展博览会的通知","205"
"关于组织参加第六届中国国际煤炭清洁高效利用展览会的通知","206"
"【阳泉市】“科创贷”申报","207"
"太原市第一〇三批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","208"
"阳泉市“科创贷”业务管理暂行办法","209"
"阳泉市科学技术局关于进一步组织申报“科创贷”的通知","210"
"阳泉市科学技术局关于2019年第二期科技创新券兑现的公示","211"
"太原市第六批暂时性生产经营困难且恢复有望参保企业应急稳岗返还审核结果公示","212"
"关于太原市企业参保职工申领职业技能提升补贴人员（2020-08期）的公示","213"
"阳泉市农业农村局关于征集阳泉市农业标准化技术委员会委员的通知","214"
"朔州市人民政府办公室印发关于加快促进服务业恢复稳定增长若干措施的通知 ","215"
"忻州市高素质农民培训机构认定量化评分情况公示","216"
"运城市中小企业服务中心关于转发《山西省小企业发展促进局关于组织开展全省优秀服务机构奖励申报工作 的通知》的通知","217"
"山西省农业农村厅关于2020年原平监狱高标准农田项目公示","218"
"科技部火炬中心关于2020年度中央财政拟支持中国创新创业大赛有关优胜企业名单的公示","219"
"关于国家重点研发计划“固废资源化”重点专项2021年度定向项目申报指南征求意见的通知","220"
"关于公布2020年全国质量标杆典型经验遴选结果的通知","221"
"工业和信息化部科技司关于组织申报国家重点研发计划“绿色生物制造”“主动健康和老龄化科技应对”重点专项年度项目的通知","222"
"工业和信息化部办公厅市场监督管理总局办公厅关于组织开展2020年度重点用能行业能效“领跑者”遴选工作的通知","223"
"太原市促进外来投资局关于转发 《山西省商务厅关于做好2020年会展业发展专项奖补资金项目申报工作的通知》的通知","224"
"关于对2020年上海交通大学山西省中小企业、民营企业董事长研修班拟定学员名单公示的通知","225"
"关于拟申请拨付2020年度第二批山西青年创业就业服务中心创业培训补贴资金的公示","226"
"工业产品绿色设计示范企业名单（第二批）公示","227"
"关于2020年度中国标准创新贡献奖授奖的决定","228"
"关于对全国科普工作先进集体和先进工作者拟表彰对象进行公示的公告","229"
"关于开展2020年度国家科技计划项目随机抽查工作的通知","230"
"科技部关于认定2020年国家高新技术产业化基地的通知","231"
"关于征集2021年度管理科学部重大项目立项领域建议的通告","232"
"2020年全国质量标杆山西行交流活动服务机构选取公告","233"
"山西省市场监督管理局关于开展第二十二届中国专利奖项目申报推荐工作的通知","234"
"重磅！山西27条新政支持这个产业发展！","235"
"拟认定2020年晋城市小微企业创业创新基地的名单公示","236"
"山西省商务厅关于做好2020年会展业发展专项奖补资金项目申报工作的通知","237"
"民营经济（中小企业）发展专项资金管理办法","238"
"关于印发阳泉市企业技术中心管理办法的通知","239"
"关于开展“专精特新”中小企业复核工作的通知","240"
"《阳泉市产业创新发展白皮书》编制遴选公告","241"
"阳泉市关于拟提名推荐参加第三届山西省质量奖评选的名单公示","242"
"大同经济技术开发区就业和人才服务中心关于2020年度各类民营经济企业工程系列中、初级专业技术职务评审工作安排意见","243"
"关于2020年度晋城市市级示范家庭农场名单公示","244"
"关于印发《大同转型汇智创新城大学毕业生就业创业优惠政策》的通知","245"
"关于转发山西省小企业发展促进局《关于组织开展全省优秀服务机构奖励申报工作的通知》的通知","246"
"太原市88个转型项目集中签约开工投产，总投资730.1亿元！","247"
"关于开展2020年上半年疫情期间规上企业复产增效奖励申报工作的通知","248"
"关于拟提名推荐第三届山西省质量奖参评单位的公示","249"
"太原市第五批暂时性生产经营困难且恢复有望参保企业应急稳岗返还审核结果公示","250"
"关于举办2020年中小企业“创业训练营”暨科技成果对接活动的通知","251"
"第四届“中国创翼”创业创新大赛山西选拔赛暨2020年山西省星火项目创业大赛","252"
"关于召开2020年度全国技术市场统计工作会的通知","253"
"山西省2020年第十批入库科技型中小企业名单公告","254"
"山西省2020年第九批入库科技型中小企业名单公告","255"
"山西省农业农村厅办公室关于举办第四届三晋新农人创业创新竞赛决赛活动的通知","256"
"山西省商务厅关于第三届进博会山西省交易团会务项目服务单位评选结果的公示","257"
"2020年度第二批工业节能诊断服务任务清单","258"
"工程与材料科学部关于征集2021年度重大项目立项领域建议的通告","259"
"关于邀请各市企事业单位参加2020年工业APP和信息消费大赛的通知","260"
"关于开展2020年山西省互联网企业20强评价工作的通知","261"
"关于组织参加第十五届中国工业论坛丝路峰会暨中国新工业博览会的通知","262"
"关于开展2020年工业企业知识产权运用试点申报工作的通知","263"
"山西省人民政府办公厅关于印发山西省数字政府建设规划（2020-2022年）的通知","264"
"关于印发2020年第二批省市重点工程项目名单的通知","265"
"山西省人民政府关于印发山西省支持新材料产业高质量发展若干政策的通知","266"
"吕梁市质量强市领导组办公室关于推荐第三届山西省质量奖名单的公示","267"
"晋城市关于2020年民营企业高工评审工作正式启动的通知","268"
"2020年太原市晋源区小微企业创业担保贷款名单公示","269"
"太原市工业和信息化局关于组织申报2020年上半年疫情期间规上企业复产增效奖励的通知","270"
"关于开展2020年度（第二批）中国山西留学人员创业园入园申请工作的通知","271"
"关于转发山西省科学技术厅《关于开展2020 年度全省自然科学研究系列高级职称评审工作的通知》的通知","272"
"关于转发《山西省商务厅关于参加“2020西安电子商务博览会”的通知》的通知","273"
"关于转发《山西省商务厅关于做好2020-2021年度数字商务企业推荐工作的通知》的通知","274"
"关于开展2020年山西省大众创业万众创新活动周“创响山西”系列推选活动的通知","275"
"关于转发山西省科协《关于开展2020年山西省大众创业万众创新活动周“创响山西”系列推选活动的通知》的通知","276"
"山西转型综合改革示范区促进电子商务企业发展扶持办法","277"
"第六届太原青年创业创新大赛获奖情况公示","278"
"关于征集2021年度信息科学领域重大项目立项建议的二次通知","279"
"太原建立服务全省的知识产权运营服务体系","280"
"太原市第五批暂时性生产经营困难且恢复有望参保企业应急稳岗返还审核结果公示","281"
"国务院关于进一步提高上市公司质量的意见","282"
"【长治市】2020年度高层次人才补贴申报","283"
"山西省市场监督管理局关于印发《山西省广告产业园区管理暂行办法》的通知","284"
"关于组织申报2020年省级小微企业创业创新基地及省级小微企业创业创新示范基地的通知","285"
"长治市人才安居工作实施办法（试行）","286"
"长治市高层次人才奖励资助实施细则（试行）","287"
"长治市关于开展2020年度高层次人才补贴申报工作的通知","288"
"山西省中小企业发展促进会关于征集企业会员的通知","289"
"市工信局组织召开太原市企业技术创新全覆盖工作会议","290"
"长治市农业农村局关于2020年第三批拟建高标准农田项目公示","291"
"阳泉市城区人力资源和社会保障局关于申请2020年度创业培训补贴的公示","292"
"阳泉市城区人力资源和社会保障局关于申请2020年度小微企业吸纳一次性就业补助的公示","293"
"阳泉市城区人力资源和社会保障局关于申请2020年度一次性创业补助资金的公示","294"
"关于对拟成立的忻州市工业和信息化标准化技术委员会","295"
"忻州市标准化和质量强市领导小组办公室关于申报“山西省质量奖”的公示","296"
"关于选派晋中市2020年度市级科技特派员和科普信息员的通知","297"
"关于印发吕梁市引进律师人才的六条措施的","298"
"工业和信息化部中小企业局关于做好2020年全国大众创业万众创新活动周工作的通知","299"
"山西省小企业发展促进局关于组织开展全省优秀服务机构奖励申报工作的通知","300"
"关于公布我省高级职称评审委员会信息目录清单的通告","301"
"【临汾市】2020年度临汾市科技计划项目（第三批）申报","302"
"2020年度临汾市重点研发计划（农业与社会发展领域）项目申报指南","303"
"2020年度临汾市重点研发计划（国际科技合作领域)项目申报指南","304"
"2020年度临汾市重点研发计划（高新技术 领域）项目申报指南","305"
"2020年度临汾市软科学研究计划项目申报指南","306"
"2020年度临汾市科技成果转化引导专项项目申报指南","307"
"关于组织申报2020年度临汾市科技计划项目（第三批）的通知","308"
"山西省关于开展2020年全国质量标杆山西行交流活动的通知","309"
"太原市第一〇一批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","310"
"太原市第一〇二批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","311"
"【一图读懂】太原市知识产权运营服务体系建设实施方案2020-2023年","312"
"关于组织企业参加人工智能大会主题展览的通知","313"
"山西省小企业发展促进局2020年“专精特新”中小企业认定公示","314"
"关于请核定2020年科学研究和技术服务业非企业单位科技统计调查名录清单的通知","315"
"山西转型综合改革示范区支持人才发展实施办法","316"
"山西转型综合改革示范区创新骨干人才引进支持计划","317"
"全省39家企业纳入省级产教融合型试点企业建设培育库","318"
"2020年度全省中小企业双创人员业务培训班在太原举办","319"
"山西省商务厅关于组织申报2020年现代服务业发展引导专项资金（电子商务）项目的通知","320"
"2021年现代服务业发展引导专项资金（电子商务）项目申报","321"
"山西省商务厅关于征集2021年现代服务业发展引导专项资金（电子商务）项目的通知","322"
"大同市关于申报2021年省级现代服务业发展专项引导资金（电子商务）项目的通知","323"
"晋城市组织人员参加全省双创基地高质量发展专题培训","324"
"长治市2020年工程系列建设专业中、初级专业技术职务任职资格评审工作的安排意见","325"
"2020年度山西省民营企业工程系列高级工程师职称评审申报","326"
"【大同市】2020年度民营企业工程系列高级工程师职称评审申报","327"
"大同市申报2020年度民营企业工程系列","328"
"临汾市关于转发山西省科技厅 《关于组织参加第二十七届中国杨凌农业高新科技成果博览会的通知》的通知","329"
"关于转发太原市科学技术局《关于征集我市企业技术需求的通知》的通知","330"
"税务总局等十三部门关于推进纳税缴费便利化改革优化税收营商环境若干措施的通知","331"
"太原市5G产业技术联盟、工业互联网产业技术联盟成立大会顺利召开","332"
"2020年环保装备制造业规范条件企业名单公示","333"
"关于举办2020年科技型中小企业创新服务与管理能力培训班的通知","334"
"工业和信息化部办公厅关于做好2020-2021年度中小企业经营管理领军人才培训工作的通知","335"
"关于征集我市企业技术需求的通知","336"
"山西省文化和旅游厅关于开展2020年度全省艺术、图书资料和群众文化三个系列中级职称评审工作的通知","337"
"关于举办2020年全国新型研发机构管理工作培训班的通知","338"
"科技厅等7部门印发《关于进一步扩大高校和科研院所科研相关自主权的实施意见》的通知","339"
"关于征求对《关于加快新型研发机构发展的若干意见》意见建议的函","340"
"关于组织参加第二十二届中国国际高新技术成果交易会的通知","341"
"关于认定“太原市商贸零售行业文明创建示范企业（店）”的通知","342"
"全国就业与社会保障先进民营企业推荐名单公示","343"
"山西省发展和改革委员会发布2020年度山西省示范物流园区和冷链物流基地名单","344"
"关于山西省产教融合型试点企业建设培育的公告","345"
"山西省科学技术厅 山西省人力资源和社会保障厅关于开展2020 年度全省自然科学研究系列高级职称评审工作的通知","346"
"2020年度全省自然科学研究系列中级专业技术职务任职资格评审工作安排意见","347"
"山西省商务厅关于做好​第128届广交会参展工作的通知 ","348"
"“十四五”国家科技创新规划面向社会征集研究单位开展重大问题研究公告","349"
"关于节假日增开市人才补贴政策兑现窗口的通知","350"
"国务院办公厅关于促进畜牧业高质量发展的意见","351"
"关于长治市科技创新券拟兑现企业名单的公示","352"
"关于开展长治市“十四五”规划建言献策活动的公告","353"
"关于拟认定阳泉市2020年农业产业化龙头企业名单的公示 ","354"
"山西省能源发展中心关于征集能源领域专家的通知 ","355"
"印发关于加快推进特色农业产业集群发展行动方案的通知","356"
"关于2020年度吕梁市科技计划项目和高层次人才引进专项拟立项目的公示","357"
"吕梁市农业农村局关于临县2020年度拟建设国家财政渠道安排高标准农田项目公示","358"
"晋城市人力资源与社会保障局关于转批《2020年度农业系列专业技术职务任职资格评审工作安排意见》的通知","359"
"关于做好2020年度全省民营企业工程系列高级工程师职称评审工作的通知 ","360"
"企策通参加山西省小企业发展促进局典型企业现场服务对接会","361"
"关于报送综改区2020年科技创新券兑付纸质材料的通知","362"
"关于批转《太原市2020年民营企业工程系列初、中级职称评审工作安排意见》的通知","363"
"太原市第四批暂时性生产经营困难且恢复有望参保企业应急稳岗返还审核结果公示","364"
"朔州市能源局关于开展企业职业技能等级认定工作的通知 ","365"
"朔州市人民政府关于积极有效利用外资推动经济高质量发展的实施意见 ","366"
"山西省商务厅关于对首批“2020年度商贸流通业转型升级重点企业”认定名单的公示","367"
"关于组织参加“促进金砖工业创新合作”项目征集活动的通知","368"
"全国第一批供应链服务企业名单公示","369"
"长治市名特优新农产品名录公示","370"
"关于2020年度国家自然科学基金申请项目评审结果的通告","371"
"关于2020年度国家自然科学基金申请项目评审结果（第二批）的通告","372"
"长治市“十四五”农业现代化及巩固脱贫攻坚成果规划编制建言献策征集公告","373"
"关于申报综改区2020年新认定及连续三年认定科技型中小企业补助的通知","374"
"2020年太原市晋源区小微企业吸纳劳动者就业一次性就业补助名单公示","375"
"关于印发《大同市加快数字政府建设实施方案》的通知","376"
"太原市第三批暂时性生产经营困难且恢复有望参保企业应急稳岗返还审核结果公示","377"
"关于印发第二届全省职业技能大赛决赛时间安排的通知","378"
"关于举办全国人工智能应用技术技能大赛山西选手集训选拔的通知","379"
"关于确定第二届全国新能源汽车关键技术技能大赛山西代表队名单的通知","380"
"关于举办2020年全国技术合同认定登记和科技成果登记培训班的通知","381"
"太原市2020年市级小微企业创业创新基地","382"
"关于转发《山西省商务厅关于征集2021年现代服务业发展引导专项资金（电子商务）项目的通知》的通知","383"
"关于发布第一批网络货运平台A级企业名单的通告","384"
"太原市第100批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","385"
"太原市第九十九批对不裁员或少裁员的参保企业实行稳岗返还审核结果公示","386"
